page_id__geo	page_id_pag	page_title	page_namespace	page_len	last_edit_timestamp	geo_tag_id	gt_primary	gt_lat	gt_lon	gt_country	gt_region	gt_globe	first_edit_timestamp	edits	minor_edits	language
4138897	4138897	Jardines_Victoria_Embankment	0	3187	20151107012850	47607289	1	51.50800000	-0.12240000	GB		earth	20100816150705	7	5	es
1987980	1987980	Queen's_Hall	0	17052	20160226013036	47767834	1	51.51805556	-0.14250000			earth	20081020075752	33	44	es
1445476	1445476	Departamento_de_Transporte_del_Reino_Unido	0	1193	20150203175446	47811381	1	51.49460000	-0.12930000	GB	WSM	earth	20080129014817	8	19	es
1145806	1145806	Marble_Arch	0	2969	20160224073730	48044499	1	51.51305556	-0.15888889	GB		earth	20070902193600	10	16	es
771836	771836	The_Swan_(teatro)	0	4422	20160225225242	48523662	1	51.50694444	-0.10305556	GB		earth	20070219145453	4	11	es
3184800	3184800	Río_Moselle	0	3851	20151112170929	49124103	1	51.60450000	-0.07360000	GB		earth	20091231122105	6	5	es
469206	469206	Blackfriars_Theatre	0	4223	20170122234728	49149607	1	51.51277778	-0.10250000	GB	LND	earth	20060728042039	23	23	es
7420848	7420848	Embajadores_de_Argentina_en_el_Reino_Unido	104	6088	20170126213518	49628200	1	51.51250000	-0.14875000	BO		earth	20160522205200	4		es
455795	455795	Teatro_Haymarket	0	2302	20161130195000	50524669	1	51.50860000	-0.13166700			earth	20060718124552	14	20	es
5915433	5915433	Vuelo_548_de_British_European_Airways	0	3088	20151006091957	50786925	1	51.43916667	-0.50888889			earth	20130715224040	10	4	es
181496	181496	Club_Marquee	0	2932	20170208234825	50829953	1	51.51340000	-0.13390000	GB	WSM	earth	20050824150510	16	31	es
2013008	2013008	Parque_Richmond	0	1527	20170103100231	50840297	1	51.44944400	-0.27388900			earth	20070315041816	20	24	es
2208800	2208800	Bushy_Park	0	930	20151010002916	50842105	1	51.41277778	-0.33805556	GB		earth	20090110175152	8	12	es
7019113	7019113	Guy's_Hospital	0	3789	20160223175955	51055441	1	51.50346000	-0.08687000			earth	20150910100347	10	1	es
1147688	1147688	Colección_Wallace	0	5272	20151203173831	51081788	1	51.51750000	-0.15305556	GB		earth	20070903200849	27	28	es
6389984	6389984	Oficina_de_Guerra	0	5133	20160222102845	51084934	1	51.50555556	-0.12583333	GB		earth	20140807031201	3	19	es
1148106	1148106	Regent_Street	0	2714	20161211212205	51143397	1	51.51080000	-0.13870000	GB		earth	20070903231828	15	26	es
3180899	3180899	Royal_Institution	0	7175	20160511002111	51337821	1	51.50980000	-0.14250000	GB		earth	20091229113203	12	12	es
1607831	1607831	Puente_Grosvenor	0	1671	20170218115238	51358354	1	51.48472222	-0.14750000			earth	20080418145129	10	13	es
1454561	1454561	Royal_Festival_Hall	0	2378	20170223015017	51665208	1	51.50583611	-0.11678889			earth	20080202193609	22	29	es
365753	365753	Palacio_de_St._James	0	2421	20150426172530	51713315	1	51.50472222	-0.13750000	GB	WSM	earth	20060429204823	24	42	es
368485	368485	Bolsa_de_Metales_de_Londres	0	3279	20160809153415	51713594	1	51.51319444	-0.07916667	GB		earth	20060502050200	10	27	es
466502	466502	Chiswick_House	0	4276	20160225165225	51715981	1	51.48361111	-0.25861111	GB		earth	20060725224554	15	23	es
1757001	1757001	Old_Vic	0	5021	20160226000925	51737197	1	51.50200000	-0.10931500			earth	20080630001638	12	25	es
2008048	2008048	Leicester_Square	0	4637	20170204105008	51739353	1	51.51027778	-0.13027778	GB		earth	20081027163838	19	24	es
2447746	2447746	Down_House	0	5949	20161017105122	51742950	1	51.33100000	0.05264000	GB		earth	20090420185859	18	10	es
